"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"832","2020-07-19","Marin County",6041,37.8590258458812,36.9465684701199,38.74667828586,17.584312113834,17.0338760116669,18.1477324239489,46.5602421643741,45.8157266809553,47.3535665177786
"833","2020-07-20","Marin County",6041,37.6527854760988,36.774342071533,38.5611120403333,17.5291018471179,16.9808796965513,18.0838976142956,47.8733858488011,47.1451520860704,48.6624042012291
"834","2020-07-21","Marin County",6041,37.3663976472427,36.5156775820988,38.2743130037104,17.42495253773,16.8832308721369,17.9709996284639,49.1807507137651,48.4489972431704,49.9646822499589
"835","2020-07-22","Marin County",6041,37.0129803989095,36.1798289539807,37.9003774123993,17.2797966159508,16.7570422159922,17.8171865779697,50.4791254539107,49.7537145734054,51.2572740629948
"836","2020-07-23","Marin County",6041,36.6040873438737,35.7729489175694,37.4809030574035,17.1006953562612,16.5990753699721,17.6129592684371,51.7658234937252,51.0465151282066,52.5375700941179
"837","2020-07-24","Marin County",6041,36.1498064309903,35.3002990788182,37.0225540084559,16.8938571301598,16.4073046049519,17.382031601018,53.0386219914137,52.3203742315492,53.8159073793218
"838","2020-07-25","Marin County",6041,35.658881229745,34.7931267509589,36.5258703337904,16.6646844043017,16.1905949032957,17.1329099591904,54.2957038880737,53.5693312427107,55.0939674823646
"839","2020-07-26","Marin County",6041,35.1388417396866,34.2788071341803,36.004360134995,16.4178369472384,15.9560085102479,16.8772146662989,55.5356042408908,54.7958166970944,56.3565821938164
"840","2020-07-27","Marin County",6041,34.5961360905224,33.7858712594056,35.4658085040466,16.1573026851364,15.7135457244836,16.5984181386065,56.7571614500796,56.0043372904019,57.5827374735845
"841","2020-07-28","Marin County",6041,34.0362576020115,33.2696614983026,34.907250516102,15.8864704949312,15.4610031664252,16.305224318566,57.9594735682032,57.1944643170712,58.7985438613435
"842","2020-07-29","Marin County",6041,33.4638638609364,32.7051423092452,34.323710886857,15.6082012471293,15.2010984291752,16.0101332046749,59.1418596069591,58.3666438580239,59.9892248225092
"843","2020-07-30","Marin County",6041,32.8828859960896,32.1363059020934,33.7304511575519,15.3248948352107,14.9361125541018,15.7125094522946,60.3038255868573,59.5276822715303,61.1594043696516
"844","2020-07-31","Marin County",6041,32.2966273747868,31.5819235954862,33.1309759032316,15.0385519196518,14.6604467684295,15.4105862006416,61.4450349778558,60.6519867285676,62.3083840621309
"845","2020-08-01","Marin County",6041,31.7078516403424,31.0198443532152,32.5349022077892,14.7508297928786,14.3694222584482,15.1144742649606,62.5652831312692,61.7659739876569,63.4426524422819
"846","2020-08-02","Marin County",6041,31.1188604578029,30.4521586921451,31.937004733626,14.4630922252736,14.0738415100047,14.8268171569927,63.6644752888522,62.8669984357566,64.5464317055915
"847","2020-08-03","Marin County",6041,30.5315616073047,29.8685263841017,31.3265197535808,14.1764534460946,13.7736966361086,14.544941845462,64.7426077622558,63.9439205059806,65.6264058666481
"848","2020-08-04","Marin County",6041,29.9475282135407,29.2597741247982,30.7239987614569,13.8918165937564,13.485707137965,14.2671942925571,65.799751896881,65.0013611605845,66.6846149870686
"849","2020-08-05","Marin County",6041,29.3680499644627,28.6907281521757,30.1501779461972,13.6099070715033,13.2034118166777,13.986812307358,66.8360404627488,66.0376459571176,67.7212215257191
"850","2020-08-06","Marin County",6041,28.7941771803966,28.1158822857729,29.5945905205862,13.3313012917959,12.921577263085,13.7108173624463,67.8516561474305,67.0508724797986,68.7475495746932
"851","2020-08-07","Marin County",6041,28.2267585662152,27.5337858705627,29.0441989055698,13.056451303597,12.6431247880938,13.4394835819394,68.8468218596588,68.0447610503278,69.765818746279
"852","2020-08-08","Marin County",6041,27.6664734283529,26.959672143833,28.4839178239675,12.7857057839409,12.3657090347672,13.1763962327513,69.8217925852343,69.019132337427,70.7641829843787
"853","2020-08-09","Marin County",6041,27.1138590752503,26.3940543380395,27.9221657558892,12.5193278477847,12.0927654698992,12.9135260515013,70.7768485681541,69.9699150517151,71.742559611585
"854","2020-08-10","Marin County",6041,26.5693340511654,25.8295869458666,27.3692427168362,12.2575100945273,11.8248401042715,12.6511239184532,71.7122896188977,70.9018893140304,72.6913618420984
"855","2020-08-11","Marin County",6041,26.0332177838183,25.2773076963798,26.8304485454583,12.0003872701202,11.5620531174019,12.399341170303,72.6284303781964,71.811983855751,73.6142717060613
"856","2020-08-12","Marin County",6041,25.5057471590477,24.7445735989728,26.304631910935,11.748046883337,11.3044776648152,12.1484508729059,73.5255963882883,72.7092691667364,74.5193287357972
"857","2020-08-13","Marin County",6041,24.9870904723887,24.2215579202789,25.7809017802685,11.5005380754366,11.0521487823497,11.9046268352466,74.4041208446701,73.5932142547565,75.4182925718672
"858","2020-08-14","Marin County",6041,24.4773591492655,23.7031476303357,25.2696195340201,11.2578790053366,10.8050707934931,11.6638666038439,75.2643419198272,74.4428946646768,76.3016484062416
"859","2020-08-15","Marin County",6041,23.9766175727876,23.1884873657283,24.7682449458021,11.0200629781807,10.5632234511435,11.4320582881937,76.1066005665511,75.2732802148249,77.1648146934255
"860","2020-08-16","Marin County",6041,23.4848913110276,22.6839964372599,24.2792411969514,10.7870635141577,10.3265670133094,11.1972673975289,76.9312387224339,76.0900057959785,78.002214076158
"861","2020-08-17","Marin County",6041,23.0021739939826,22.1904412825039,23.8024246615728,10.5588385266812,10.0950464238449,10.9664957632703,77.7385978491932,76.8958440723135,78.8223135228607
"862","2020-08-18","Marin County",6041,22.5284330538535,21.7221833395644,23.3401665506892,10.3353337544967,9.86859474424922,10.7415268256739,78.529017750841,77.6845105589584,79.6254394813814
"863","2020-08-19","Marin County",6041,22.063614510431,21.2630136272549,22.8860458792169,10.116485570761,9.64713596063302,10.5245524727385,79.3028356235657,78.4423711816962,80.4051225105561
